key_resp.corr,,key_resp.rt,,seq RT,ran RT
1,,1.0792988,,1.0792988,0.7658457
1,,2.2991679,,2.2991679,1.1078311
1,,0.9668637,,0.9668637,0.6844645
1,,0.686806,,0.686806,0.6911631
1,,0.7699791,,0.7699791,0.8842526
1,,0.8783551,,0.8783551,0.7131059
1,,0.7841461,,0.7841461,0.6903061
1,,0.7247761,,0.7247761,0.735399
1,,0.7441692,,0.7441692,0.619418
1,,0.8890919,,0.8890919,0.6300263
1,,1.6754554,,1.6754554,0.781204
1,,0.7011387,,0.7011387,0.5990114
1,,0.7441047,,0.7441047,0.909038
1,,0.8392088,,0.8392088,0.6096494
1,,0.7949038,,0.7949038,0.5550002
1,,0.6945526,,0.6945526,0.9341702
1,,0.7183905,,0.7183905,0.6139591
1,,0.7091967,,0.7091967,0.6361023
1,,1.2309709,,1.2309709,0.5792932
1,,0.7219032,,0.7219032,0.6651736
1,,0.8104941,,0.8104941,0.7279177
1,,0.707364,,0.707364,0.5778652
1,,0.68522,,0.68522,1.4834687
1,,0.7726861,,0.7726861,0.6798522
1,,0.7663438,,0.7663438,0.7151098
1,,1.0692061,,1.0692061,0.7495739
1,,0.8661945,,0.8661945,0.7584359
1,,0.5847448,,0.5847448,0.8290809
1,,0.5850515,,0.5850515,0.841601
1,,1.0252049,,1.0252049,0.624725
1,,0.7627341,,0.7627341,0.8551196
1,,0.7220977,,0.7220977,0.7044495
1,,0.586822,,0.586822,0.787526
1,,0.9661411,,0.9661411,0.7284108
1,,1.0530559,,1.0530559,0.6695552
1,,0.696487,,0.696487,0.6415245
1,,0.6796186,,0.6796186,0.7350631
1,,0.9462773,,0.9462773,0.6572824
1,,0.8111061,,0.8111061,0.7409277
1,,0.6379368,,0.6379368,0.6443701
1,,0.6781166,,0.6781166,0.7149542
1,,0.7328041,,0.7328041,0.7790532
1,,0.7037155,,0.7037155,0.6743197
1,,0.6374338,,0.6374338,0.6481806
1,,0.8380423,,0.8380423,0.6432904
1,,0.8325741,,0.8325741,1.2894065
1,,0.7893065,,0.7893065,1.3252191
1,,0.7489793,,0.7489793,0.7605611
1,,0.7658457,,,
1,,1.1078311,,,
1,,0.6844645,,,
1,,0.6911631,,,
1,,0.8842526,,,
1,,0.7131059,,,
1,,0.6903061,,,
1,,0.735399,,,
1,,0.619418,,,
1,,0.6300263,,,
1,,0.781204,,,
1,,0.5990114,,,
1,,0.909038,,,
1,,0.6096494,,,
1,,0.5550002,,,
1,,0.9341702,,,
1,,0.6139591,,,
1,,0.6361023,,,
1,,0.5792932,,,
1,,0.6651736,,,
1,,0.7279177,,,
1,,0.5778652,,,
0,,1.4834687,,,
1,,0.6798522,,,
1,,0.7151098,,,
1,,0.7495739,,,
0,,0.7584359,,,
1,,0.8290809,,,
1,,0.841601,,,
1,,0.624725,,,
1,,0.8551196,,,
1,,0.7044495,,,
1,,0.787526,,,
1,,0.7284108,,,
1,,0.6695552,,,
1,,0.6415245,,,
1,,0.7350631,,,
1,,0.6572824,,,
1,,0.7409277,,,
1,,0.6443701,,,
1,,0.7149542,,,
1,,0.7790532,,,
1,,0.6743197,,,
1,,0.6481806,,,
1,,0.6432904,,,
1,,1.2894065,,,
1,,1.3252191,,,
1,,0.7605611,,,
